strain	S1_down	S1_up	S2_down	S2_up	S3_down	S3_up
YEL016C::chr5_2	544	430	361	334	331	270
YEL017C-A::chr5_2	561	317	251	177	439	240
YEL017W::chr5_2	329	320	196	89	251	200
YEL018W::chr5_2	0	0	139	66	1	2
YEL019C::chr5_2	5	1	2	4	0	4
YEL020C::chr5_2	440	364	238	138	214	164
YEL020W-A::chr00_20	0	0	0	0	0	0
YEL022W::chr00_23	10	6	0	1	510	337
YEL023C::chr5_2	637	399	260	252	316	209
YEL024W::chr5_2	0	0	0	1	2	81
YEL025C::chr5_2	544	297	305	265	366	305
YEL026W::chr5_2	1	0	2	3	0	1
YEL027W::chr5_2	346	198	622	578	0	0
YEL028W::chr5_2	217	265	144	204	153	323
YEL029C::chr5_2	3	1	620	365	1008	397
YEL030W::chr5_2	410	0	327	147	348	0
YEL031W::chr5_2	1	11	629	591	0	28
YEL032W::chr5_2	25	205	20	334	34	174
YEL033W::chr5_2	374	306	8	5	329	273
YEL034W::chr00_8	3	14	2	5	8	15
YEL035C::chr5_2	0	0	2	0	2	0
YEL036C::chr5_2	139	102	0	0	101	107
YEL037C::chr5_2	836	0	971	396	473	0
YEL038W::chr5_2	16	464	330	797	1	15
YEL039C::chr5_2	425	404	947	956	304	229
YEL040W::chr5_2	4	297	10	984	2	247
YEL041W::chr00_23	4	0	2	0	456	50
YEL041W::chr5_2	0	3	459	872	198	369
YEL042W::chr5_2	471	347	1661	1445	648	461
YEL043W::chr5_2	266	285	281	826	228	252
YEL044W::chr5_2	0	0	0	0	0	0
YEL045C::chr5_2	304	121	39	1	117	39
YEL046C::chr5_2	403	0	1491	0	2	0
YEL047C::chr5_2	496	392	1671	1697	638	481
YEL048C::chr5_2	466	277	1820	1463	597	399
YEL049W::chr5_2	447	373	239	245	289	394
YEL050C::chr5_2	387	318	624	626	158	127
YEL051W::chr5_2	78	36	125	132	0	0
YEL052W::chr5_2	543	483	283	233	292	247
YEL053C::chr5_2	286	288	223	214	208	233
YEL054C::chr5_2	385	330	986	1029	400	358
YEL055C::chr5_2	4	2	3	3	1	2
YEL056W::chr5_2	466	337	264	292	473	400
YEL057C::chr5_2	414	276	1799	636	238	144
YEL058W::chr5_2	2	1	4	1	2	4
YEL059C-A::chr00_20	317	231	0	0	458	397
YEL059W::chr5_2	500	288	2143	1714	238	186
YEL060C::chr5_2	575	35	363	192	533	55
YEL061C::chr5_2	394	267	480	770	397	411
YEL062W::chr5_2	159	96	225	260	589	445
YEL063C::chr5_2	233	178	144	218	521	439
YEL064C::chr5_2	504	330	272	128	595	406
YEL065W::chr5_2	421	295	229	217	444	435
YEL066W::chr5_2	372	300	175	247	377	291
YEL067C::chr5_2	450	358	261	262	469	327
YEL068C::chr5_2	445	262	228	200	407	236
YEL071W::chr5_2	475	299	302	227	491	352
YEL072W::chr5_2	4	1	324	249	771	582
YER001W::chr5_2	479	369	351	312	469	486
YER002W::chr5_2	363	281	1017	942	404	307
YER003C::chr5_2	4	0	3	0	3	5
YER004W::chr5_2	0	393	0	190	0	288
YER005W::chr5_2	486	322	243	216	559	454
YER006W::chr5_2	0	1	7	3	4	5
YER007C-A::chr5_2	371	255	914	1090	436	476
YER007W::chr00_21	366	284	4	1	1005	812
YER007W::chr5_2	3	0	248	143	549	461
YER008C::chr5_2	3	0	6	0	3	0
YER009W::chr5_2	0	2	1	2	4	1
YER010C::chr5_2	581	507	178	235	467	370
YER011W::chr5_2	0	450	0	171	0	548
YER012W::chr5_2	0	1	0	2	0	1
YER013W::chr5_2	1	5	5	1	3	1
YER014C-A::chr5_3	156	127	5	1	394	460
YER014W::chr5_2	0	0	0	0	0	0
YER015W::chr00_23	656	625	3	1	479	356
YER016W::chr00_21	225	356	5	1	280	456
YER016W::chr5_3	0	0	0	661	0	552
YER017C::chr5_3	4	2	800	948	2	1
YER018C::chr5_3	0	0	1	0	1	1
YER019C-A::chr5_3	370	300	294	248	369	322
YER019W::chr5_3	315	203	980	775	650	486
YER020W::chr5_3	529	296	1210	682	776	397
YER021W::chr5_3	0	4	0	0	2	0
YER022W::chr5_3	0	2	2	8	3	7
YER023W::chr5_3	2	0	7	0	6	1
YER024W::chr5_3	460	311	319	190	497	333
YER025W::chr5_3	2	0	0	0	0	0
YER026C::chr00_23	0	0	0	0	0	0
YER027C::chr00_11	730	515	327	299	411	344
YER027C::chr5_3	0	0	0	0	0	0
YER028C::chr5_3	400	341	864	878	1047	973
YER029C::chr00_23	0	0	0	0	0	0
YER030W::chr5_3	398	295	153	316	498	477
YER031C::chr00_10	404	0	153	74	366	0
YER032W::chr5_3	427	172	240	129	557	230
YER033C::chr5_3	488	332	333	308	400	296
YER034W::chr5_3	498	372	411	191	284	252
YER035W::chr5_3	589	540	0	0	457	484
YER036C::chr5_3	0	5	0	7	2	2
YER037W::chr00_11	581	475	158	317	524	448
YER037W::chr5_3	0	0	0	0	0	0
YER038C::chr5_3	9	0	3	3	4	1
YER038W-A::chr5_3	471	300	459	392	476	316
YER039C-A::chr00_2	1087	710	221	411	418	361
YER039C::chr5_3	498	209	163	196	309	182
YER040W::chr5_3	413	244	1112	1005	442	320
YER041W::chr5_3	456	249	238	204	360	279
YER042W::chr5_3	450	267	218	194	434	343
YER043C::chr5_3	5	0	1	1	2	0
YER044C-A::chr5_3	464	302	361	236	443	356
YER044C::chr5_3	1	0	608	596	1	0
YER045C::chr5_3	460	361	338	284	574	469
YER046W-A::chr5_3	556	52	264	149	517	70
YER046W::chr00_10	558	375	182	161	471	304
YER047C::chr5_3	74	28	164	7	41	30
YER048C::chr5_3	622	379	455	328	531	384
YER048W-A::chr00_2	1	0	4	0	0	0
YER049W::chr5_3	583	463	345	435	272	275
YER050C::chr5_3	3	1	1080	259	3	0
YER051W::chr5_3	449	10	159	4	369	18
YER052C::chr5_3	332	0	188	29	912	0
YER053C-A::chr00_20	419	38	0	0	2	0
YER053C::chr5_3	309	238	121	140	216	221
YER054C::chr5_3	258	247	0	2	242	236
YER055C::chr5_3	2	0	141	155	267	243
YER056C-A::chr5_3	422	223	1173	985	389	264
YER056C::chr5_3	379	343	82	126	326	318
YER057C::chr5_3	367	324	203	231	437	348
YER058W::chr5_3	0	0	241	217	1	0
YER059W::chr5_3	543	342	282	208	516	371
YER060W-A::chr5_3	694	522	243	251	365	219
YER060W::chr5_3	351	344	202	298	257	321
YER061C::chr5_3	311	241	737	712	683	423
YER062C::chr5_3	702	1	162	92	341	0
YER063W::chr00_10	0	279	0	189	0	327
YER064C::chr00_8	521	341	255	221	284	331
YER065C::chr5_3	538	392	164	161	310	203
YER066C-A::chr5_3	708	36	220	11	274	13
YER066W::chr00_10	0	155	89	134	2	232
YER067C-A::chr5_3	633	536	209	147	265	180
YER067W::chr5_3	760	509	78	164	261	203
YER068C-A::chr5_3	307	305	142	187	741	689
YER068W::chr5_3	322	240	376	330	2	0
YER069W::chr5_3	0	0	231	172	256	182
YER070W::chr5_3	0	0	126	73	30	11
YER071C::chr5_3	738	817	319	335	219	249
YER072W::chr5_3	589	441	240	130	301	238
YER073W::chr5_3	367	310	215	162	489	352
YER074W-A::chr00_20	0	0	3	0	1	0
YER074W::chr5_3	313	312	1050	1022	255	234
YER075C::chr5_3	416	221	172	162	179	144
YER076C::chr00_23	641	113	1	1	507	73
YER077C::chr00_8	0	1	775	559	1	0
YER078C::chr00_8	1014	677	256	242	740	557
YER078W-A::chr00_20	0	0	0	0	0	0
YER079W::chr5_3	428	306	161	135	207	191
YER080W::chr5_3	223	294	178	111	153	142
YER081W::chr5_3	434	261	196	102	191	194
YER082C::chr5_3	0	0	0	0	0	0
YER083C::chr5_3	324	221	1569	620	586	488
YER084W::chr5_3	459	73	183	120	641	104
YER085C::chr5_3	671	482	226	178	263	205
YER086W::chr5_3	366	176	226	175	661	360
YER087C-A::chr5_3	456	282	243	198	212	156
YER087C-B::chr00_20	374	259	1	0	354	343
YER087W::chr5_3	3	1	803	696	376	270
YER088C::chr00_8	216	559	153	91	76	230
YER089C::chr00_17a	363	295	193	191	403	357
YER090W::chr00_8	1	0	143	234	618	446
YER091C-A::chr00_2	97	100	486	255	709	571
YER091C::chr00_8	4	1	299	236	974	801
YER092W::chr00_8	563	295	296	223	385	235
YER093C-A::chr00_8	443	414	315	295	181	196
YER093C::chr00_8	0	5	2	5	0	0
YER094C::chr00_8	0	3	1	0	1	5
YER095W::chr00_8	2	639	388	795	0	423
YER096W::chr00_8	601	412	367	328	411	421
YER097W::chr00_8	493	324	324	237	301	184
YER098W::chr00_8	520	447	280	270	419	429
YER099C::chr00_21	234	144	0	3	789	580
YER101C::chr00_5	349	176	197	211	281	212
YER103W::chr00_5	410	281	337	237	230	122
YER104W::chr00_5	6	0	2	0	3	0
YER105C::chr00_21	285	271	0	5	397	518
YER106W::chr00_5	0	290	0	217	0	250
YER107C::chr00_5	0	0	0	0	0	0
YER108C::chr00_5	462	308	272	159	397	242
YER109C::chr00_22	333	135	4	1	717	329
YER109C::chr00_5	4	2	214	241	419	310
YER110C::chr00_5	15	352	642	1101	7	275
YER111C::chr00_5	286	211	601	565	2	2
YER112W::chr00_5	1	5	6	1	8	2
YER113C::chr00_5	439	236	278	168	269	231
YER114C::chr00_5	280	206	224	130	358	168
YER115C::chr00_5	291	279	251	274	262	258
YER116C::chr00_5	307	215	634	624	288	224
YER117W::chr00_5	0	0	83	0	0	0
YER118C::chr00_5	733	347	1416	1022	679	425
YER119C-A::chr00_5	2	0	340	201	0	0
YER119C::chr00_5	313	202	367	274	299	286
YER120W::chr00_5	300	186	396	306	233	217
YER121W::chr00_5	805	638	373	386	1048	836
YER122C::chr00_5	183	136	1430	1190	169	117
YER123W::chr00_5	269	180	313	322	380	239
YER124C::chr00_5	334	254	336	293	277	270
YER125W::chr00_5	0	0	3	0	0	0
YER126C::chr00_5	0	1	3	1	2	0
YER127W::chr00_5	1	6	0	0	0	4
YER128W::chr00_5	352	232	388	378	216	176
YER129W::chr00_5	289	183	340	294	315	343
YER130C::chr00_5	344	66	350	181	209	62
YER131W::chr00_5	393	216	1348	785	232	134
YER132C::chr00_5	368	220	579	372	359	224
YER133W::chr00_5	10	11	6	6	8	4
YER134C::chr00_5	455	305	177	153	302	210
YER135C::chr00_5	555	378	209	78	330	256
YER136W::chr00_5	0	3	2	3	1	3
YER137C::chr00_5	411	249	116	149	404	197
YER139C::chr00_5	633	438	752	812	256	187
YER140W::chr00_5	274	176	1418	976	493	436
YER141W::chr00_5	0	0	0	0	0	0
YER142C::chr00_5	364	255	187	151	292	331
YER143W::chr00_5	368	186	182	139	402	171
YER144C::chr00_2	4	365	218	424	1	262
YER145C::chr00_5	316	177	1315	1030	320	245
YER146W::chr00_5	0	0	6	7	0	2
YER147C::chr00_5	0	0	3	0	1	2
YER148W::chr00_5	1	0	0	0	0	0
YER149C::chr00_5	544	430	175	227	645	612
YER150W::chr00_5	420	253	277	256	238	154
YER151C::chr00_5	205	136	1208	1302	288	263
YER152C::chr00_5	556	405	885	1291	375	296
YER153C::chr00_5	0	0	0	0	204	171
YER154W::chr00_5	4	1	1360	1345	207	206
YER155C::chr00_21	1	1	1	2	832	676
YER155C::chr00_5	1	0	42	64	285	285
YER156C::chr00_5	301	217	964	987	561	439
YER157W::chr00_5	8	37	7	37	11	24
YER158C::chr00_5	319	218	166	254	448	328
YER159C::chr00_5	6	6	1	5	2	3
YER161C::chr00_5	263	38	200	125	216	37
YER162C::chr00_5	263	188	216	89	336	369
YER163C::chr00_5	450	272	167	155	1274	714
YER164W::chr00_5	1	296	112	223	1	306
YER165W::chr00_5	0	0	0	0	0	0
YER166W::chr00_5	302	288	227	239	373	362
YER167W::chr00_5	246	184	182	191	247	211
YER168C::chr00_5	5	2	1	3	0	3
YER169W::chr00_5	565	146	270	43	335	73
YER170W::chr00_5	369	233	275	185	287	211
YER171W::chr00_5	1	1	0	6	2	6
YER172C::chr00_5	1	14	1	7	2	1
YER173W::chr00_5	361	244	85	169	290	281
YER174C::chr00_5	349	244	119	209	459	476
YER175C::chr00_5	1	185	119	179	14	594
YER175W-A::chr00_20	430	187	5	0	615	320
YER176W::chr00_5	293	162	243	153	546	333
YER177W::chr00_5	292	205	272	224	842	605
YER178W::chr00_5	196	168	421	266	271	400
YER179W::chr00_5	233	233	690	731	339	614
YER180C-A::chr00_20	670	0	3	0	404	0
YER180C::chr00_5	420	384	217	327	600	590
YER181C::chr00_5	540	386	331	206	648	620
YER182W::chr00_5	459	287	323	473	801	561
YER183C::chr00_5	342	296	272	268	759	640
YER184C::chr00_5	378	320	265	307	762	691
YER185W::chr00_5	400	305	281	241	572	485
YER186C::chr00_5	382	258	304	248	407	342
YER186W-A::chr00_21	284	246	2	0	582	542
YER187W::chr00_5	402	306	249	231	901	758
YER188C-A::chr00_20	0	0	0	0	0	0
YER188W::chr00_2	430	273	572	398	455	260
YFL001W::chr00_17a	2	46	285	372	1	246
YFL002C::chr00_17a	0	0	0	0	3	0
YFL003C::chr00_17a	298	189	183	100	625	364
YFL004W::chr00_17a	350	149	215	178	757	286
YFL005W::chr00_17a	0	0	2	0	0	1
YFL006W::chr6_1	266	188	51	111	346	253
YFL007W::chr00_17a	221	167	148	131	577	406
YFL007W::chr00_22	0	0	0	0	0	0
YFL008W::chr6_1	0	0	0	0	0	0
YFL009W::chr6_1	4	3	1	1	4	0
YFL010C::chr00_17a	0	213	95	105	0	410
YFL010W-A::chr00_17a	2	0	196	42	672	11
YFL010W-A::chr00_23	666	505	3	1	549	468
YFL011W::chr6_1	0	232	0	135	0	279
YFL012W::chr00_17a	19	181	373	254	4	211
YFL013C::chr00_17a	79	81	87	108	147	284
YFL013W-A::chr00_15	0	148	98	79	0	206
YFL014W::chr00_15	305	193	104	123	420	270
YFL015C::chr6_1	293	165	184	65	251	198
YFL016C::chr00_17a	3	0	432	277	151	50
YFL017C::chr6_1	1	0	0	0	0	0
YFL018C::chr6_1	199	83	715	395	516	190
YFL018W-A::chr6_1	4	0	1	0	1	0
YFL019C::chr00_15	332	145	219	80	364	179
YFL020C::chr6_1	299	0	212	46	399	0
YFL021W::chr6_1	386	127	166	151	460	96
YFL022C::chr6_1	0	0	1	0	0	3
YFL023W::chr6_1	6	0	715	71	143	0
YFL024C::chr6_1	0	0	0	0	1	0
YFL025C::chr6_1	141	102	152	57	407	290
YFL026W::chr00_16b	0	0	9	0	0	1
YFL026W::chr6_1	1	0	0	0	365	394
YFL027C::chr6_1	453	352	191	171	583	428
YFL028C::chr6_1	79	283	124	124	35	122
YFL029C::chr00_18	2	0	5	0	0	2
YFL030W::chr6_1	683	531	188	217	264	210
YFL031W::chr00_22	0	190	0	0	0	219
YFL031W::chr6_1	1	0	217	200	418	305
YFL032W::chr6_1	394	181	177	118	524	206
YFL033C::chr00_17a/chr00_18	66	74	443	488	1183	1191
YFL034C-A::chr00_2	517	316	584	230	388	223
YFL034W::chr6_1	484	205	211	162	651	381
YFL035C-A::chr6_1	1	0	0	0	0	0
YFL035C-B::chr6_1	346	187	288	159	464	256
YFL035C::chr6_1	0	2	6	5	0	3
YFL036W::chr6_1	3	1	566	224	304	0
YFL037W::chr6_1	0	1	0	0	3	0
YFL038C::chr6_1	1	0	0	4	0	1
YFL039C::chr00_15	0	0	0	1	0	2
YFL040W::chr6_1	258	289	223	176	229	262
YFL041W-A::chr00_20	375	30	1	0	249	23
YFL041W::chr6_1	239	333	199	372	261	334
YFL042C::chr00_15	2	0	170	108	456	167
YFL042C::chr00_22	300	284	5	0	380	336
YFL043C::chr6_1	349	226	308	195	543	318
YFL044C::chr6_1	419	226	226	156	516	368
YFL045C::chr6_1	2	0	3	1	0	0
YFL046W::chr6_1	187	196	33	141	309	450
YFL047W::chr6_1	458	231	211	155	488	289
YFL048C::chr6_1	349	312	155	168	274	227
YFL049W::chr6_1	421	303	93	156	317	294
YFL050C::chr6_1	436	262	214	133	419	261
YFL051C::chr6_1	569	281	184	137	613	280
YFL052W::chr6_1	797	476	278	176	684	457
YFL053W::chr6_1	538	349	120	195	326	233
YFL054C::chr6_1	354	323	226	183	419	244
YFL055W::chr6_1	409	197	330	213	285	171
YFL056C::chr6_1	453	332	204	207	311	295
YFL060C::chr00_18	0	0	0	0	0	0
YFL063W::chr00_18	0	352	66	146	0	545
YFR001W::chr6_1	465	325	505	443	254	187
YFR002W::chr00_18	79	7	79	2	73	1
YFR003C::chr6_1	0	3	0	3	1	0
YFR004W::chr6_1	15	4	13	12	8	7
YFR005C::chr6_1	1	0	1	1	1	0
YFR006W::chr6_1	452	273	159	162	387	326
YFR007W::chr6_1	462	385	143	147	339	274
YFR008W::chr6_1	0	0	134	71	222	235
YFR009W::chr6_1	1043	856	178	148	607	515
YFR010W::chr6_1	0	174	56	178	0	437
YFR011C::chr00_16b	477	257	171	184	343	186
YFR011C::chr6_1	0	0	0	0	0	0
YFR012W-A::chr00_20	552	404	0	2	489	335
YFR012W::chr6_1	0	388	117	161	0	281
YFR013W::chr00_16b	420	293	1157	1073	386	280
YFR013W::chr6_1	0	0	0	0	0	0
YFR014C::chr6_1	458	306	198	217	748	572
YFR015C::chr6_1	559	362	287	81	547	411
YFR016C::chr6_1	163	143	210	197	484	369
YFR017C::chr6_1	267	194	366	286	299	243
YFR018C::chr6_1	10	287	12	722	3	180
YFR019W::chr00_15	239	109	0	2	469	240
YFR020W::chr6_1	567	272	255	222	470	331
YFR021W::chr6_1	500	348	294	127	503	403
YFR022W::chr6_1	205	517	202	235	189	230
YFR023W::chr6_1	595	403	298	286	308	270
YFR024C-A::chr6_1	414	332	283	254	383	287
YFR024C::chr00_15	421	194	1613	982	525	312
YFR025C::chr00_15	0	0	119	257	4	315
YFR026C::chr6_1	425	395	289	313	526	475
YFR027W::chr6_1	0	6	1	3	1	1
YFR028C::chr00_15	2	9	1	9	4	1
YFR029W::chr00_15	0	5	0	5	0	5
YFR030W::chr00_15	0	0	0	148	7	274
YFR031C-A::chr6_1	489	270	713	730	501	352
YFR031C::chr00_15	1	3	2	2	0	13
YFR032C-A::chr00_2	319	213	1468	1397	295	286
YFR032C-A::chr00_21	0	0	0	0	0	0
YFR032C-B::chr00_20	352	21	0	0	297	11
YFR032C::chr00_2	433	282	410	366	361	258
YFR033C::chr00_2	477	299	436	306	298	306
YFR034C::chr00_2	373	65	412	255	257	62
YFR035C::chr00_2	313	0	342	187	346	1
YFR036W::chr00_2	561	200	462	291	284	97
YFR037C::chr00_2	0	0	0	4	1	1
YFR038W::chr00_2	4	0	247	296	412	387
YFR038W::chr00_23	484	371	2	1	445	380
YFR039C::chr00_14	0	411	205	333	0	371
YFR040W::chr00_2	1	284	859	1411	1	323
YFR041C::chr00_2	408	364	394	322	249	330
YFR042W::chr00_2	1	2	0	2	1	0
YFR043C::chr00_2	510	356	512	530	455	391
YFR044C::chr00_2	459	377	709	608	515	504
YFR045W::chr00_2	5	2	607	512	575	431
YFR045W::chr00_22	0	0	0	0	0	0
YFR046C::chr00_2	524	241	513	269	380	133
YFR047C::chr00_2	517	279	421	405	501	372
YFR048W::chr00_2	361	68	336	21	239	36
YFR049W::chr00_2	993	0	426	83	487	0
YFR050C::chr00_2	5	0	10	0	1	2
YFR051C::chr00_2	0	3	5	4	0	3
YFR052W::chr00_2	1	1	1	4	0	1
YFR053C::chr00_2	482	394	458	382	353	348
YFR054C::chr00_2	521	337	392	391	379	306
YFR055W::chr00_2	616	328	196	324	348	278
YFR056C::chr00_2	778	379	508	386	565	327
YFR057W::chr00_2	466	5	1547	619	386	2
YGL001C::chr7_1	10	5	5	0	5	0
YGL002W::chr7_1	24	435	2	134	17	256
YGL003C::chr7_1	594	398	575	485	287	204
YGL004C::chr7_1	249	434	180	597	156	308
YGL005C::chr7_1	334	313	78	130	281	422
YGL006W-A::chr00_20	487	247	0	2	538	363
YGL006W::chr7_1	362	356	461	803	253	258
YGL007C-A::chr00_20	232	0	0	0	553	0
YGL007W::chr7_1	134	79	87	118	392	324
YGL008C::chr7_1	11	5	0	1	2	1
YGL009C::chr7_1	0	1	0	132	0	0
YGL010W::chr7_1	3	295	0	174	2	250
YGL011C::chr7_1	2	1	0	0	0	0
YGL012W::chr7_1	0	1	0	216	0	220
YGL013C::chr7_1	428	309	130	172	259	209
YGL014W::chr7_1	652	411	188	159	297	248
YGL015C::chr7_1	3	326	445	366	0	194
YGL016W::chr7_1	1	0	215	29	294	45
YGL017W::chr7_1	522	369	218	207	327	303
YGL018C::chr7_1	1	2	2	0	0	3
YGL019W::chr7_1	209	28	151	24	226	39
YGL020C::chr7_1	2	305	0	62	0	619
YGL021W::chr7_1	813	591	191	129	764	535
YGL022W::chr7_1	2	0	3	1	5	0
YGL023C::chr00_23	0	318	0	0	0	562
YGL023C::chr7_1	18	239	13	393	30	561
YGL024W::chr7_1	1	7	3	0	6	2
YGL025C::chr7_1	1	0	431	133	0	0
YGL026C::chr7_1	0	2	34	869	25	609
YGL027C::chr7_1	538	456	193	177	365	314
YGL028C::chr7_1	4	573	152	140	3	464
YGL029W::chr7_1	398	317	2	1	1831	1516
YGL030W::chr7_1	0	0	0	0	0	0
YGL031C::chr7_1	1	0	979	799	463	338
YGL032C::chr00_23	525	330	0	0	510	302
YGL032C::chr7_1	3	0	160	173	551	353
YGL033W::chr00_22	6	0	0	0	683	455
YGL033W::chr7_1	1	0	246	0	260	163
YGL034C::chr7_1	449	310	105	188	555	315
YGL035C::chr7_1	0	576	116	93	0	369
YGL036W::chr7_1	371	93	3	0	555	191
YGL037C::chr7_1	356	316	949	2100	346	348
YGL038C::chr7_1	0	0	0	0	0	0
YGL039W::chr7_1	365	305	223	151	496	489
YGL040C::chr7_1	1	0	3	0	0	5
YGL041C-B::chr00_20	363	204	1	0	439	246
YGL041C::chr7_1	1	0	0	393	3	0
YGL042C::chr7_1	268	168	201	172	379	380
YGL043W::chr7_1	15	1	193	95	407	139
YGL044C::chr00_23	0	0	0	0	0	0
YGL044C::chr7_1	0	0	1	0	5	0
YGL045W::chr00_22	514	158	6	0	764	226
YGL045W::chr7_1	0	4	395	372	595	441
YGL046W::chr7_1	673	407	371	365	338	241
YGL047W::chr7_1	0	0	0	0	3	0
YGL048C::chr7_1	0	0	0	0	0	0
YGL049C::chr7_1	318	294	220	230	297	180
YGL050W::chr7_1	261	203	126	187	393	271
YGL051W::chr7_1	283	232	153	151	227	286
YGL053W::chr7_1	813	537	301	276	354	269
YGL054C::chr7_1	574	424	1041	988	369	336
YGL055W::chr7_1	2	2	1	1	2	0
YGL056C::chr7_1	363	179	236	215	348	251
YGL057C::chr7_1	609	406	1108	890	242	184
YGL058W::chr7_1	0	104	5	18	0	137
YGL059W::chr7_1	607	349	233	212	298	327
YGL060W::chr7_1	1072	300	201	141	396	96
YGL061C::chr7_1	2	0	2	0	5	2
YGL062W::chr7_1	585	299	303	241	1018	682
YGL063W::chr7_1	253	377	172	340	215	288
YGL064C::chr7_1	2	1	2	1	1535	1197
YGL065C::chr7_1	2	0	7	3	0	2
YGL066W::chr7_1	334	110	1073	1459	257	63
YGL067W::chr7_1	453	291	942	856	542	342
YGL068W::chr7_1	11	0	5	0	1	0
YGL069C::chr7_1	4	5	0	2	5	5
YGL070C::chr7_1	186	132	0	0	305	249
YGL071W::chr7_1	1	0	133	210	145	279
YGL072C::chr7_1	245	138	1372	948	259	104
YGL073W::chr7_1	1	3	0	5	1	14
YGL074C::chr7_1	0	5	1	2	4	3
YGL075C::chr7_1	1	1	1	3	2	1
YGL076C::chr7_1	403	213	0	0	131	125
YGL077C::chr7_1	522	299	217	128	393	205
YGL078C::chr7_1	574	400	806	829	231	302
YGL079W::chr7_1	267	255	214	218	244	366
YGL080W::chr7_1	184	157	221	255	408	358
YGL081W::chr00_23	565	399	1	0	562	409
YGL081W::chr7_1	3	1	769	1514	7	316
YGL082W::chr7_1	474	272	603	344	451	331
YGL083W::chr7_1	429	359	282	249	401	366
YGL084C::chr7_1	317	203	918	397	318	277
YGL085W::chr7_1	469	356	258	262	459	387
YGL086W::chr7_1	404	278	164	188	550	424
YGL087C::chr7_1	441	323	2162	2215	427	379
YGL088W::chr7_1	253	127	23	9	715	258
YGL089C::chr7_1	579	132	352	159	441	110
YGL090W::chr7_1	245	461	202	261	232	468
YGL091C::chr7_1	2	0	2	1	1	1
YGL092W::chr7_1	1	3	11	3	5	6
YGL093W::chr7_1	0	1	0	0	0	0
YGL094C::chr7_1	623	520	1339	1581	253	337
YGL095C::chr7_1	1	0	1	0	45	45
YGL096W::chr7_1	403	298	273	242	441	253
YGL097W::chr7_1/chr00_17a	0	2	0	3	3	6
YGL098W::chr7_2	0	3	0	3	1	2
YGL099W::chr7_2	3	0	0	0	1	0
YGL100W::chr00_21	348	233	8	2	1201	750
YGL101W::chr00_23	0	0	0	0	625	424
YGL101W::chr7_2	0	0	93	1	205	0
YGL102C::chr7_2	1	0	2	2	3	0
YGL103W::chr7_2	2	0	2	0	0	0
YGL104C::chr00_23	342	311	1	2	290	332
YGL104C::chr7_2	0	4	1	151	0	114
YGL105W::chr7_2	181	148	528	318	1	0
YGL107C::chr7_2	1	0	3	1	402	234
YGL108C::chr7_2	0	100	0	117	0	108
YGL109W::chr7_2	400	4	167	0	392	1
YGL110C::chr7_2	417	0	170	1	235	0
YGL111W::chr7_2	4	0	0	0	4	3
YGL112C::chr7_2	5	2	0	0	1	0
YGL113W::chr7_2	5	2	10	4	0	4
YGL114W::chr7_2	867	667	170	178	211	179
YGL115W::chr7_2	125	97	739	297	179	159
YGL116W::chr7_2	33	0	8	0	19	0
YGL117W::chr7_2	332	153	213	109	273	120
YGL118C::chr7_2	0	0	69	0	0	0
YGL119W::chr00_21	0	0	0	0	112	74
YGL120C::chr7_2	3	0	3	0	0	0
YGL121C::chr7_2	294	244	228	139	326	248
YGL122C::chr7_2	2	0	0	3	2	0
YGL123W::chr7_2	5	3	1	12	2	4
YGL124C::chr7_2	671	55	235	11	349	26
YGL125W::chr7_2	0	0	172	10	721	5
YGL126W::chr7_2	318	293	190	122	254	235
YGL127C::chr7_2	241	0	773	329	5	0
YGL128C::chr7_2	0	0	0	49	3	0
YGL129C::chr7_2	2	0	647	0	62	0
YGL130W::chr7_2	16	0	0	0	0	0
YGL131C::chr7_2	407	252	163	183	220	165
YGL132W::chr7_2	368	104	160	27	341	51
YGL133W::chr7_2	682	304	242	56	269	219
YGL134W::chr00_21	512	346	0	0	113	134
YGL135W::chr7_2	0	0	159	190	1	0
YGL136C::chr7_2	265	22	239	83	375	27
YGL137W::chr7_2	2	3	6	4	1	5
YGL138C::chr7_2	227	94	172	28	403	123
YGL139W::chr7_2	229	280	219	249	316	160
YGL140C::chr7_2	325	222	109	190	353	238
YGL141W::chr7_2	332	6	172	1	236	4
YGL142C::chr7_2	0	0	1	0	0	0
YGL143C::chr7_2	157	0	626	0	248	0
YGL144C::chr7_2	377	265	191	76	844	720
YGL145W::chr00_23	0	0	0	0	0	0
YGL145W::chr7_2	0	1	0	0	0	0
YGL146C::chr7_2	346	180	157	158	356	151
YGL147C::chr7_2	336	271	920	882	108	89
YGL148W::chr7_2	7	1	629	792	309	219
YGL149W::chr7_2	197	121	172	152	318	261
YGL150C::chr7_2	7	2	10	6	8	10
YGL151W::chr7_2	285	225	156	128	247	169
YGL152C::chr7_2	533	298	169	141	272	294
YGL153W::chr7_2	330	177	181	164	343	258
YGL154C::chr7_2	1	0	224	255	367	240
YGL155W::chr7_2	2	3	5	3	0	7
YGL156W::chr7_2	433	77	311	190	341	76
YGL157W::chr7_2	400	296	111	210	410	302
YGL158W::chr7_2	304	181	207	109	371	184
YGL159W::chr7_2	422	249	181	133	613	334
YGL160W::chr7_2	456	229	214	170	238	216
YGL161C::chr7_2	1	411	93	94	0	173
YGL162W::chr7_2	379	0	187	92	304	0
YGL163C::chr7_2	373	238	641	521	2	1
